3.3543 7.5964
7.30764 7.8396
10.3575 7.6668
15.4931 8.1687
19.0731 8.4371
20.8879 8.9101
24.0653 8.8619
26.1793 8.8643
28.031 9.0748
29.6803 9.2143
33.0022 8.4983
36.5386 7.3028
39.3688 2.3002
44.2296 1.6276
51.4874 1.0216
58.319 .5551
65.5818 .3131
81.2703 -.3360
91.4056 -.6726
105.026 -.8383
112.7 -.7156
129.976 -.6812
151.707 -1.0623
171.764 -1.8042
181.335 -2.1400
189.659 -2.4040
198.977 -2.6814
205.944 -2.9396
232.333 -4.0542
239.426 -4.0900
248.007 -4.4700
256.301 -4.7100
265.805 -4.8600
274.046 -5.0700
280.183 -4.9300
287.738 -5.2700
297.67 -5.3500
306.034 -5.6000
312.682 -5.7200
320.482 -6.1700
328.133 -6.4300
334.029 -6.4800
337.741 -6.4600
347.509 -6.4800
357.064 -6.6000
363.645 -6.6700
372.472 -6.7600
378.312 -6.6000
385.534 -6.5300
394.666 -6.4700
399.857 -6.2900
409.296 -6.5900
416.339 -6.3700
420.651 -6.3800
424.042 -6.2900
425.223 -6.2700
434.764 -5.9100
439.398 -5.8400
448.012 -5.5400
456.361 -5.3800
464.214 -5.0400
474.046 -5.3100
481 -5.3900
490.941 -5.4600
499.994 -5.8300
508.847 -5.9500
517.618 -6.1700
527.443 -6.5500
536.356 -7.0400
544.176 -7.4800
551.371 -7.8500
554.904 -8.0700
563.873 -8.5200
572.59 -8.9400
581.656 -9.4300
591.039 -9.9100
600.877 -10.2800
610.674 -10.7800
620.381 -11.1200
630.352 -11.4300
639.83 -11.5600
647.237 -11.9100
655.197 -12.0500
664.313 -12.3700
673.886 -12.4900
682.427 -12.7500
690.01 -12.9200
698.049 -13.1600
704.62 -13.2100
713.791 -13.4000
721.288 -13.5200
729.172 -13.6900
737.827 -13.7500
745.426 -13.8900
753.903 -14.0600
763.417 -14.2200
772.331 -14.4400
781.163 -14.5600
789.563 -14.6800
798.135 -14.8100
807.592 -14.8700
815.774 -15.1200
824.935 -15.1900
833.15 -15.3200
840.931 -15.5300
847.208 -15.5600
854.484 -15.6000
862.183 -15.8600
870.001 -15.9200
878.923 -16.0800
887.865 -16.1900
896.732 -16.3100
904.916 -16.4000
914.143 -16.5700
923.923 -16.8100
933.101 -16.9400
942.368 -16.9600
951.276 -17.0800
958.713 -17.2300
967.573 -17.3300
977.137 -17.5500
987.061 -17.7200
996.567 -17.9000
1005.79 -17.9200
1013.56 -18.0700
1020.56 -18.2900
1030.32 -18.3100
1038.43 -18.4700
1047.7 -18.7000
1057.66 -18.7400
1064.23 -18.8700
1074.03 -18.9800
1080.19 -19.2000
1087.59 -19.1900
1095.51 -19.2800
1104.14 -19.5100
1112.68 -19.5600
1120.02 -19.7100
1129.8 -19.8700
1136.65 -19.9100
1146.5 -20.1000
1153.57 -20.1300
1163.1 -20.4100
