236400	1.123
237000	1.089
237600	1.05
238200	1.024
238800	1.021
239400	0.989
240000	0.934
240600	0.9
241200	0.86
241800	0.826
242400	0.794
243000	0.752
243600	0.739
244200	0.704
244800	0.648
245400	0.598
246000	0.547
246600	0.487
247200	0.439
247800	0.394
248400	0.362
249000	0.346
249600	0.319
250200	0.293
250800	0.27
251400	0.218
252000	0.18
252600	0.169
253200	0.165
253800	0.186
254400	0.185
255000	0.198
255600	0.199
256200	0.2
256800	0.177
257400	0.156
258000	0.128
258600	0.141
259200	0.178
259800	0.211
260400	0.251
261000	0.286
261600	0.308
262200	0.343
262800	0.368
263400	0.394
264000	0.43
264600	0.457
265200	0.506
265800	0.528
266400	0.54
267000	0.588
267600	0.617
268200	0.626
268800	0.646
269400	0.663
270000	0.693
270600	0.727
271200	0.759
271800	0.792
272400	0.817
273000	0.827
273600	0.844
274200	0.846
274800	0.823
275400	0.84
276000	0.867
276600	0.889
277200	0.883
277800	0.858
278400	0.829
279000	0.796
279600	0.781
280200	0.767
280800	0.764
281400	0.74
282000	0.735
282600	0.713
283200	0.662
283800	0.612
284400	0.576
285000	0.53
285600	0.486
286200	0.442
286800	0.396
287400	0.363
288000	0.337
288600	0.294
289200	0.241
289800	0.18
290400	0.129
291000	0.082
291600	0.035
292200	-0.004
292800	-0.021
293400	-0.054
294000	-0.085
294600	-0.093
295200	-0.118
295800	-0.169
296400	-0.189
297000	-0.193
297600	-0.193
298200	-0.189
298800	-0.156
299400	-0.149
300000	-0.139
300600	-0.139
301200	-0.135
301800	-0.129
302400	-0.102
303000	-0.054
303600	0.003
304200	0.061
304800	0.093
305400	0.124
306000	0.183
306600	0.222
307200	0.26
307800	0.301
308400	0.365
309000	0.421
309600	0.449
310200	0.495
310800	0.539
311400	0.587
312000	0.638
312600	0.673
313200	0.715
313800	0.776
314400	0.837
315000	0.876
315600	0.91
316200	0.952
316800	1
317400	1.028
318000	1.054
318600	1.087
319200	1.102
319800	1.111
320400	1.133
321000	1.146
321600	1.146
322200	1.138
322800	1.129
323400	1.121
324000	1.101
324600	1.088
325200	1.062
325800	1.05
326400	1.035
327000	1.021
327600	0.983
328200	0.931
328800	0.883
329400	0.842
330000	0.801
330600	0.761
331200	0.723
331800	0.7
332400	0.666
333000	0.614
333600	0.56
334200	0.487
334800	0.427
335400	0.38
336000	0.333
336600	0.292
337200	0.25
337800	0.216
338400	0.183
339000	0.146
339600	0.095
340200	0.05
340800	0.022
341400	0.009
342000	-0.002
342600	-0.028
343200	-0.031
343800	-0.043
344400	-0.044
345000	-0.056
345600	-0.068
346200	-0.048
346800	-0.029
347400	-0.023
348000	0.001
348600	0.038
349200	0.067
349800	0.118
350400	0.144
351000	0.161
351600	0.174
352200	0.184
352800	0.181
353400	0.193
354000	0.226
354600	0.223
355200	0.283
355800	0.319
356400	0.35
357000	0.369
357600	0.389
358200	0.403
358800	0.478
359400	0.551
360000	0.549
360600	0.532
361200	0.525
361800	0.549
362400	0.589
363000	0.624
363600	0.644
364200	0.671
364800	0.713
365400	0.712
366000	0.705
366600	0.693
367200	0.69
367800	0.692
368400	0.701
369000	0.725
369600	0.741
370200	0.707
370800	0.692
371400	0.667
372000	0.616
372600	0.569
373200	0.538
373800	0.516
374400	0.495
375000	0.468
375600	0.432
376200	0.398
376800	0.342
377400	0.274
378000	0.235
378600	0.171
379200	0.125
379800	0.086
380400	0.058
381000	0.026
381600	-0.022
382200	-0.071
382800	-0.11
383400	-0.159
384000	-0.191
384600	-0.206
385200	-0.225
385800	-0.246
386400	-0.267
387000	-0.252
387600	-0.25
388200	-0.268
388800	-0.262
389400	-0.226
390000	-0.203
390600	-0.184
391200	-0.15
391800	-0.096
392400	-0.061
393000	-0.028
393600	0.033
394200	0.075
394800	0.077
395400	0.095
396000	0.133
396600	0.197
397200	0.277
397800	0.354
398400	0.402
399000	0.463
399600	0.54
400200	0.611
400800	0.658
401400	0.685
402000	0.732
402600	0.784
403200	0.832
403800	0.881
404400	0.943
405000	1.005
405600	1.054
406200	1.067
406800	1.125
407400	1.134
408000	1.155
408600	1.168
409200	1.187
409800	1.188
410400	1.191
411000	1.2
411600	1.194
412200	1.192
412800	1.181
413400	1.122
414000	1.11
414600	1.091
415200	1.085
415800	1.076
416400	1.049
417000	1.017
417600	0.99
418200	0.958
418800	0.942
419400	0.891
420000	0.815
420600	0.783
421200	0.744
421800	0.687
422400	0.644
423000	0.601
423600	0.555
424200	0.495
424800	0.443
425400	0.404
426000	0.341
426600	0.286
427200	0.241
427800	0.187
428400	0.13
429000	0.083
429600	0.042
430200	0.013
430800	-0.024
431400	-0.055
432000	-0.072
432600	-0.099
433200	-0.14
433800	-0.166
434400	-0.164
435000	-0.142
435600	-0.119
436200	-0.103
436800	-0.102
437400	-0.103
438000	-0.093
438600	-0.061
439200	-0.039
439800	-0.022
440400	0.008
441000	0.053
441600	0.084
442200	0.122
442800	0.143
443400	0.175
444000	0.186
444600	0.205
445200	0.219
445800	0.274
446400	0.331
447000	0.397
447600	0.449
448200	0.495
448800	0.504
449400	0.488
450000	0.518
450600	0.538
451200	0.548
451800	0.576
452400	0.604
453000	0.622
453600	0.642
454200	0.649
454800	0.648
455400	0.628
456000	0.608
456600	0.598
457200	0.597
457800	0.571
458400	0.536
459000	0.536
459600	0.532
460200	0.494
460800	0.45
461400	0.405
462000	0.363
462600	0.32
463200	0.277
463800	0.235
464400	0.176
465000	0.125
465600	0.075
466200	0.041
466800	-0.007
467400	-0.056
468000	-0.118
468600	-0.154
469200	-0.191
469800	-0.236
470400	-0.279
471000	-0.316
471600	-0.346
472200	-0.375
472800	-0.405
473400	-0.433
474000	-0.451
474600	-0.468
475200	-0.477
475800	-0.476
476400	-0.474
477000	-0.475
477600	-0.464
478200	-0.442
478800	-0.421
479400	-0.398
480000	-0.373
480600	-0.335
481200	-0.287
481800	-0.245
482400	-0.199
483000	-0.15
483600	-0.093
484200	-0.041
484800	0.002
485400	0.051
486000	0.097
486600	0.164
487200	0.252
487800	0.316
488400	0.384
489000	0.441
489600	0.489
490200	0.534
490800	0.581
491400	0.634
492000	0.707
492600	0.774
493200	0.84
493800	0.887
494400	0.938
495000	0.98
495600	1.02
496200	1.049
496800	1.075
